Date : 2023-10-11 16:46:33
Directory : /Users/tj.wetmore/Code/darta/monorepo
Total : 2669 files,  287201 codes, 78956 comments, 51433 blanks, all 417590 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/sparc/ffitarget.h                                                              | C++                |         40 |         28 |         14 |         82 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/sparc/internal.h                                                               | C++                |         22 |          1 |          4 |         27 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/sparc/v8.S                                                                     | G-Code             |        398 |          0 |         46 |        444 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/sparc/v9.S                                                                     | G-Code             |        397 |          0 |         44 |        441 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/tile/ffi.c                                                                     | C                  |        226 |         69 |         61 |        356 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/tile/ffitarget.h                                                               | C++                |         30 |         26 |         10 |         66 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/tile/tile.S                                                                    | G-Code             |        317 |          2 |         42 |        361 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/types.c                                                                        | C                  |         63 |         33 |         13 |        109 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/vax/elfbsd.S                                                                   | G-Code             |        175 |          0 |         21 |        196 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/vax/ffi.c                                                                      | C                  |        183 |         42 |         52 |        277 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/vax/ffitarget.h                                                                | C++                |         16 |         26 |          8 |         50 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/asmnames.h                                                                 | C++                |         25 |          0 |          6 |         31 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/ffi.c                                                                      | C                  |        612 |         77 |         82 |        771 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/ffi64.c                                                                    | C                  |        682 |        114 |        100 |        896 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/ffitarget.h                                                                | C++                |        105 |         36 |         20 |        161 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/ffiw64.c                                                                   | C                  |        234 |         44 |         41 |        319 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/internal.h                                                                 | C++                |         26 |          0 |          4 |         30 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/internal64.h                                                               | C++                |         20 |          0 |          3 |         23 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/sysv.S                                                                     | G-Code             |      1,028 |          0 |        111 |      1,139 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/sysv_intel.S                                                               | G-Code             |        898 |          0 |         97 |        995 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/unix64.S                                                                   | G-Code             |        559 |          0 |         63 |        622 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/win64.S                                                                    | G-Code             |        210 |          0 |         32 |        242 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/x86/win64_intel.S                                                              | G-Code             |        205 |          1 |         32 |        238 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/xtensa/ffi.c                                                                   | C                  |        193 |         59 |         47 |        299 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/xtensa/ffitarget.h                                                             | C++                |         20 |         25 |          9 |         54 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/src/xtensa/sysv.S                                                                  | G-Code             |        197 |          0 |         62 |        259 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.bhaible/Makefile                                                  | Makefile           |         22 |          0 |          7 |         29 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.bhaible/alignof.h                                                 | C++                |         15 |         30 |          6 |         51 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.bhaible/test-call.c                                               | C                  |      1,651 |         29 |         66 |      1,746 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.bhaible/test-callback.c                                           | C                  |      2,708 |         55 |        123 |      2,886 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.bhaible/testcases.c                                               | C                  |        683 |         34 |         27 |        744 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/align_mixed.c                                                | C                  |         31 |          7 |          9 |         47 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/align_stdcall.c                                              | C                  |         31 |          7 |          9 |         47 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/err_bad_typedef.c                                            | C                  |         12 |          6 |          9 |         27 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/ffitest.h                                                    | C++                |        102 |         17 |         20 |        139 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float.c                                                      | C                  |         37 |          7 |         16 |         60 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float1.c                                                     | C                  |         33 |         11 |         17 |         61 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float2.c                                                     | C                  |         37 |         12 |         13 |         62 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float3.c                                                     | C                  |         47 |          8 |         20 |         75 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float4.c                                                     | C                  |         32 |         14 |         17 |         63 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/float_va.c                                                   | C                  |         63 |         26 |         19 |        108 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/many.c                                                       | C                  |         42 |          7 |         11 |         60 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/many2.c                                                      | C                  |         40 |          6 |         12 |         58 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/many_double.c                                                | C                  |         54 |          7 |         10 |         71 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/many_mixed.c                                                 | C                  |         63 |          7 |          9 |         79 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/negint.c                                                     | C                  |         31 |          7 |         15 |         53 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/offsets.c                                                    | C                  |         33 |          6 |          8 |         47 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/pr1172638.c                                                  | C                  |        102 |          7 |         19 |        128 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/promotion.c                                                  | C                  |         45 |          7 |          8 |         60 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/pyobjc-tc.c                                                  | C                  |         80 |         13 |         22 |        115 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_dbl.c                                                 | C                  |         24 |          7 |          6 |         37 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_dbl1.c                                                | C                  |         32 |          7 |          5 |         44 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_dbl2.c                                                | C                  |         31 |          7 |          5 |         43 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_fl.c                                                  | C                  |         23 |          7 |          6 |         36 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_fl1.c                                                 | C                  |         24 |          7 |          6 |         37 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_fl2.c                                                 | C                  |         34 |          8 |          8 |         50 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_fl3.c                                                 | C                  |         31 |          7 |          5 |         43 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_ldl.c                                                 | C                  |         22 |          7 |          6 |         35 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_ll.c                                                  | C                  |         28 |          7 |          7 |         42 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_ll1.c                                                 | C                  |         28 |          9 |          7 |         44 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_sc.c                                                  | C                  |         24 |          7 |          6 |         37 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_sl.c                                                  | C                  |         24 |          7 |          8 |         39 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_uc.c                                                  | C                  |         24 |          7 |          8 |         39 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/return_ul.c                                                  | C                  |         24 |          7 |          8 |         39 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/strlen.c                                                     | C                  |         27 |          7 |         11 |         45 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/strlen2.c                                                    | C                  |         33 |          7 |         10 |         50 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/strlen3.c                                                    | C                  |         33 |          7 |         10 |         50 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/strlen4.c                                                    | C                  |         39 |          7 |         10 |         56 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct1.c                                                    | C                  |         45 |          8 |         15 |         68 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct10.c                                                   | C                  |         37 |         11 |         10 |         58 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct2.c                                                    | C                  |         44 |          8 |         16 |         68 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct3.c                                                    | C                  |         39 |          7 |         15 |         61 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct4.c                                                    | C                  |         41 |          8 |         16 |         65 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct5.c                                                    | C                  |         44 |          8 |         15 |         67 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct6.c                                                    | C                  |         42 |          8 |         15 |         65 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct7.c                                                    | C                  |         51 |          8 |         16 |         75 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct8.c                                                    | C                  |         58 |          8 |         16 |         82 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/struct9.c                                                    | C                  |         44 |          8 |         17 |         69 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/uninitialized.c                                              | C                  |         46 |          3 |         13 |         62 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/va_1.c                                                       | C                  |        154 |         10 |         33 |        197 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/va_struct1.c                                                 | C                  |         88 |          9 |         25 |        122 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/va_struct2.c                                                 | C                  |         90 |          9 |         25 |        124 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.call/va_struct3.c                                                 | C                  |         92 |          9 |         25 |        126 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn0.c                                            | C                  |         65 |         11 |         14 |         90 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn1.c                                            | C                  |         61 |         11 |         10 |         82 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn2.c                                            | C                  |         61 |         11 |         10 |         82 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn3.c                                            | C                  |         61 |         11 |         11 |         83 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn4.c                                            | C                  |         66 |         11 |         13 |         90 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn5.c                                            | C                  |         70 |         11 |         12 |         93 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_fn6.c                                            | C                  |         70 |         10 |         11 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_loc_fn0.c                                        | C                  |         69 |         11 |         16 |         96 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/closure_simple.c                                         | C                  |         34 |          9 |         13 |         56 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_12byte.c                                             | C                  |         63 |         10 |         22 |         95 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_16byte.c                                             | C                  |         63 |         11 |         22 |         96 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_18byte.c                                             | C                  |         65 |         11 |         21 |         97 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_19byte.c                                             | C                  |         71 |         11 |         21 |        103 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_1_1byte.c                                            | C                  |         54 |         12 |         24 |         90 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_20byte.c                                             | C                  |         61 |         11 |         20 |         92 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_20byte1.c                                            | C                  |         61 |         11 |         22 |         94 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_24byte.c                                             | C                  |         82 |         11 |         21 |        114 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_2byte.c                                              | C                  |         57 |         12 |         22 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_3_1byte.c                                            | C                  |         62 |         12 |         22 |         96 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_3byte1.c                                             | C                  |         57 |         12 |         22 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_3byte2.c                                             | C                  |         57 |         12 |         22 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_3float.c                                             | C                  |         63 |         11 |         22 |         96 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_4_1byte.c                                            | C                  |         65 |         12 |         22 |         99 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_4byte.c                                              | C                  |         57 |         11 |         23 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_5_1_byte.c                                           | C                  |         76 |         11 |         23 |        110 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_5byte.c                                              | C                  |         65 |         11 |         23 |         99 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_64byte.c                                             | C                  |         92 |         12 |         21 |        125 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_6_1_byte.c                                           | C                  |         80 |         11 |         23 |        114 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_6byte.c                                              | C                  |         65 |         11 |         24 |        100 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_7_1_byte.c                                           | C                  |         84 |         11 |         23 |        118 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_7byte.c                                              | C                  |         65 |         11 |         22 |         98 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_8byte.c                                              | C                  |         57 |         11 |         21 |         89 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_9byte1.c                                             | C                  |         57 |         13 |         21 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_9byte2.c                                             | C                  |         57 |         13 |         22 |         92 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_double.c                                       | C                  |         60 |         10 |         24 |         94 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_float.c                                        | C                  |         60 |         10 |         22 |         92 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_longdouble.c                                   | C                  |         60 |         10 |         23 |         93 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_longdouble_split.c                             | C                  |         96 |         11 |         26 |        133 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_longdouble_split2.c                            | C                  |         79 |         12 |         25 |        116 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_pointer.c                                      | C                  |         64 |         10 |         22 |         96 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/ffi-1.15.5/ext/ffi_c/libffi/testsuite/libffi.closures/cls_align_sint16.c                                       | C                  |         60 |         10 |         22 |         92 |
