Date : 2023-10-11 16:46:33
Directory : /Users/tj.wetmore/Code/darta/monorepo
Total : 2669 files,  287201 codes, 78956 comments, 51433 blanks, all 417590 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| old/mobile/src/Screens/Gallery                                                                                                                                                     |          9 |      1,056 |         55 |         81 |      1,192 |
| old/mobile/src/Screens/Gallery (Files)                                                                                                                                             |          6 |        717 |         55 |         67 |        839 |
| old/mobile/src/Screens/Gallery/Tombstone                                                                                                                                           |          3 |        339 |          0 |         14 |        353 |
| old/mobile/src/Screens/Recommender                                                                                                                                                 |          1 |        311 |         12 |         34 |        357 |
| old/mobile/src/Screens/User                                                                                                                                                        |          6 |        456 |         22 |         41 |        519 |
| old/mobile/src/State                                                                                                                                                               |          1 |        380 |         18 |         36 |        434 |
| old/server                                                                                                                                                                         |         11 |        222 |         41 |         56 |        319 |
| old/server (Files)                                                                                                                                                                 |          5 |         96 |         11 |         17 |        124 |
| old/server/__tests__                                                                                                                                                               |          1 |          0 |         27 |          8 |         35 |
| old/server/src                                                                                                                                                                     |          5 |        126 |          3 |         31 |        160 |
| old/server/src (Files)                                                                                                                                                             |          2 |         29 |          0 |         14 |         43 |
| old/server/src/services                                                                                                                                                            |          3 |         97 |          3 |         17 |        117 |
| packages                                                                                                                                                                           |        329 |     38,390 |      1,037 |      2,824 |     42,251 |
| packages/components                                                                                                                                                                |          4 |         29 |          1 |          1 |         31 |
| packages/components (Files)                                                                                                                                                        |          2 |         24 |          1 |          1 |         26 |
| packages/components/src                                                                                                                                                            |          2 |          5 |          0 |          0 |          5 |
| packages/darta                                                                                                                                                                     |        116 |     10,263 |        385 |      1,057 |     11,705 |
| packages/darta (Files)                                                                                                                                                             |          8 |        261 |         85 |         24 |        370 |
| packages/darta-styles                                                                                                                                                              |          5 |        174 |          4 |         12 |        190 |
| packages/darta-styles (Files)                                                                                                                                                      |          2 |         27 |          0 |          2 |         29 |
| packages/darta-styles/dist                                                                                                                                                         |          2 |         98 |          2 |          2 |        102 |
| packages/darta-styles/src                                                                                                                                                          |          1 |         49 |          2 |          8 |         59 |
| packages/darta-types                                                                                                                                                               |         14 |        628 |          0 |         21 |        649 |
| packages/darta-types (Files)                                                                                                                                                       |          2 |         27 |          0 |          2 |         29 |
| packages/darta-types/dist                                                                                                                                                          |          8 |        313 |          0 |          8 |        321 |
| packages/darta-types/src                                                                                                                                                           |          4 |        288 |          0 |         11 |        299 |
| packages/darta/android                                                                                                                                                             |         21 |        514 |        175 |        108 |        797 |
| packages/darta/android (Files)                                                                                                                                                     |          4 |        121 |         37 |         44 |        202 |
| packages/darta/android/app                                                                                                                                                         |         16 |        387 |        138 |         63 |        588 |
| packages/darta/android/app (Files)                                                                                                                                                 |          2 |        123 |         68 |         25 |        216 |
| packages/darta/android/app/src                                                                                                                                                     |         14 |        264 |         70 |         38 |        372 |
| packages/darta/android/app/src/debug                                                                                                                                               |          2 |         63 |         12 |          9 |         84 |
| packages/darta/android/app/src/debug (Files)                                                                                                                                       |          1 |          5 |          0 |          3 |          8 |
| packages/darta/android/app/src/debug/java                                                                                                                                          |          1 |         58 |         12 |          6 |         76 |
| packages/darta/android/app/src/debug/java/com                                                                                                                                      |          1 |         58 |         12 |          6 |         76 |
| packages/darta/android/app/src/debug/java/com/darta                                                                                                                                |          1 |         58 |         12 |          6 |         76 |
| packages/darta/android/app/src/debug/java/com/darta/darta                                                                                                                          |          1 |         58 |         12 |          6 |         76 |
| packages/darta/android/app/src/main                                                                                                                                                |         11 |        194 |         47 |         26 |        267 |
| packages/darta/android/app/src/main (Files)                                                                                                                                        |          1 |         40 |          0 |          0 |         40 |
| packages/darta/android/app/src/main/java                                                                                                                                           |          2 |        100 |         24 |         23 |        147 |
| packages/darta/android/app/src/main/java/com                                                                                                                                       |          2 |        100 |         24 |         23 |        147 |
| packages/darta/android/app/src/main/java/com/darta                                                                                                                                 |          2 |        100 |         24 |         23 |        147 |
| packages/darta/android/app/src/main/java/com/darta/darta                                                                                                                           |          2 |        100 |         24 |         23 |        147 |
| packages/darta/android/app/src/main/res                                                                                                                                            |          8 |         54 |         23 |          3 |         80 |
| packages/darta/android/app/src/main/res/drawable                                                                                                                                   |          2 |         14 |         23 |          3 |         40 |
| packages/darta/android/app/src/main/res/mipmap-anydpi-v26                                                                                                                          |          2 |         10 |          0 |          0 |         10 |
| packages/darta/android/app/src/main/res/values                                                                                                                                     |          3 |         29 |          0 |          0 |         29 |
| packages/darta/android/app/src/main/res/values-night                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| packages/darta/android/app/src/release                                                                                                                                             |          1 |          7 |         11 |          3 |         21 |
| packages/darta/android/app/src/release/java                                                                                                                                        |          1 |          7 |         11 |          3 |         21 |
| packages/darta/android/app/src/release/java/com                                                                                                                                    |          1 |          7 |         11 |          3 |         21 |
| packages/darta/android/app/src/release/java/com/darta                                                                                                                              |          1 |          7 |         11 |          3 |         21 |
| packages/darta/android/app/src/release/java/com/darta/darta                                                                                                                        |          1 |          7 |         11 |          3 |         21 |
| packages/darta/android/gradle                                                                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| packages/darta/android/gradle/wrapper                                                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| packages/darta/googleService                                                                                                                                                       |          3 |         73 |          1 |          2 |         76 |
| packages/darta/plugins                                                                                                                                                             |          1 |         34 |          3 |          8 |         45 |
| packages/darta/src                                                                                                                                                                 |         83 |      9,381 |        121 |        915 |     10,417 |
| packages/darta/src/api                                                                                                                                                             |          7 |        305 |          1 |         41 |        347 |
| packages/darta/src/components                                                                                                                                                      |         47 |      4,649 |         52 |        406 |      5,107 |
| packages/darta/src/components/Artwork                                                                                                                                              |          7 |        868 |          7 |         86 |        961 |
| packages/darta/src/components/Auth                                                                                                                                                 |          2 |        204 |          0 |         20 |        224 |
| packages/darta/src/components/Darta                                                                                                                                                |          3 |        310 |          2 |         18 |        330 |
| packages/darta/src/components/Dialog                                                                                                                                               |          2 |        149 |          0 |         19 |        168 |
| packages/darta/src/components/Elements                                                                                                                                             |          5 |         71 |          2 |         16 |         89 |
| packages/darta/src/components/Exhibitions                                                                                                                                          |          6 |        297 |          0 |         34 |        331 |
| packages/darta/src/components/Exhibitions (Files)                                                                                                                                  |          1 |        123 |          0 |         16 |        139 |
| packages/darta/src/components/Exhibitions/SBs                                                                                                                                      |          5 |        174 |          0 |         18 |        192 |
| packages/darta/src/components/Explore                                                                                                                                              |          2 |        115 |         12 |         11 |        138 |
| packages/darta/src/components/Explore/Carousel                                                                                                                                     |          2 |        115 |         12 |         11 |        138 |
| packages/darta/src/components/Gallery                                                                                                                                              |          2 |        362 |          2 |         17 |        381 |
| packages/darta/src/components/Modal                                                                                                                                                |          2 |         99 |          0 |         13 |        112 |
| packages/darta/src/components/Previews                                                                                                                                             |          4 |        623 |          9 |         48 |        680 |
| packages/darta/src/components/Toasts                                                                                                                                               |          3 |         46 |          0 |          8 |         54 |
| packages/darta/src/components/Tombstone                                                                                                                                            |          3 |        486 |          0 |         33 |        519 |
| packages/darta/src/components/User                                                                                                                                                 |          6 |      1,019 |         18 |         83 |      1,120 |
| packages/darta/src/navigation                                                                                                                                                      |          8 |        316 |          0 |         45 |        361 |
| packages/darta/src/navigation (Files)                                                                                                                                              |          4 |        161 |          0 |         22 |        183 |
| packages/darta/src/navigation/Exhibition                                                                                                                                           |          3 |        129 |          0 |         18 |        147 |
| packages/darta/src/navigation/ExploreMap                                                                                                                                           |          1 |         26 |          0 |          5 |         31 |
| packages/darta/src/screens                                                                                                                                                         |         11 |      2,224 |         16 |        243 |      2,483 |
| packages/darta/src/screens (Files)                                                                                                                                                 |          4 |        615 |         12 |         57 |        684 |
| packages/darta/src/screens/Exhibition                                                                                                                                              |          5 |      1,257 |          1 |        127 |      1,385 |
| packages/darta/src/screens/ExploreMap                                                                                                                                              |          1 |        174 |          1 |         23 |        198 |
| packages/darta/src/screens/SplashScreen                                                                                                                                            |          1 |        178 |          2 |         36 |        216 |
| packages/darta/src/state                                                                                                                                                           |          1 |        552 |         24 |         68 |        644 |
| packages/darta/src/styles                                                                                                                                                          |          1 |        488 |         10 |         27 |        525 |
| packages/darta/src/theme                                                                                                                                                           |          1 |          9 |          0 |          1 |         10 |
| packages/darta/src/typing                                                                                                                                                          |          2 |        225 |          3 |         27 |        255 |
| packages/darta/src/utils                                                                                                                                                           |          5 |        613 |         15 |         57 |        685 |
| packages/graphserver                                                                                                                                                               |         50 |     11,251 |        178 |        671 |     12,100 |
| packages/graphserver (Files)                                                                                                                                                       |          9 |      6,125 |         24 |         44 |      6,193 |
| packages/graphserver/src                                                                                                                                                           |         41 |      5,126 |        154 |        627 |      5,907 |
| packages/graphserver/src (Files)                                                                                                                                                   |          1 |         39 |          3 |         18 |         60 |
| packages/graphserver/src/config                                                                                                                                                    |          5 |        282 |          7 |         33 |        322 |
| packages/graphserver/src/controllers                                                                                                                                               |          8 |      1,086 |         11 |         79 |      1,176 |
| packages/graphserver/src/middleware                                                                                                                                                |          5 |         70 |          2 |         14 |         86 |
| packages/graphserver/src/models                                                                                                                                                    |          2 |         27 |          1 |          9 |         37 |
| packages/graphserver/src/services                                                                                                                                                  |         20 |      3,622 |        130 |        474 |      4,226 |
| packages/graphserver/src/services (Files)                                                                                                                                          |          8 |      2,700 |        125 |        395 |      3,220 |
